id,location_id,organization_id,service_id,name,title,email,department
139322,"",0,0,Dru Schmidt-Perkins                ,Executive Director                 ,"",""
139322,"",0,0,Dru Schmidt-Perkins                ,Executive Director                 ,"",""
138946,"",0,0,Dr. Mary J. Jenkins                ,Executive Director                 ,"",""
138946,"",0,0,Dr. Mary J. Jenkins                ,Executive Director                 ,"",""
139752,"",0,0,Janice Quintana                    ,Director                           ,"",""
139344,"",0,0,Joel Prell                         ,Owner/President                    ,"",""
139344,"",0,0,Joel Prell                         ,Owner/President                    ,"",""
139162,"",0,0,David Warner                       ,Executive Director                 ,"",""
139360,"",0,0,Lela Blue-Campbell/Sonnie Price    ,Program Directors                  ,"",""
139360,"",0,0,Lela Blue-Campbell/Sonnie Price    ,Program Directors                  ,"",""
