id,location_id,organization_id,service_id,name,title,email,department
1,,139776,,James Reeder                       ,Director                           ,,
2,,138022,,Brandy Miller                      ,Director                           ,,
3,,137787,,Jerry F. Barnes                    ,State's Attorney                   ,,
4,,138472,,"Director Robert S. Mueller, III    ",Director                           ,,
5,,138188,,Carl Mazza                         ,Executive Director                 ,,
6,,137857,,Stacy Smith                        ,Executive Director                 ,,
7,,137695,,Robert Barrett                     ,Director                           ,,
8,,137945,,Petranda Alevrofas                 ,Director                           ,,
9,,137683,,Paul T. Graziano                   ,Commissioner                       ,,
10,,137953,,Roy Appletree                      ,Executive Director                 ,,
11,,138171,,Nancy Grasmick                     ,State Superintendent               ,,
12,,139330,,Taiwo Brown                        ,President                          ,,
13,,138872,,Aileen Bormel                      ,President                          ,,
14,,139760,,Roe Davis                          ,Executive Director                 ,,
15,,137791,,Lillie Pearson                     ,Coordinator                        ,,
16,,138034,,Lyle E. Sheldon                    ,President/CEO                      ,,
17,,139019,,Ruth Ann North                     ,Executive Director                 ,,
18,,137705,,"Kenneth DeFontes, Jr.              ",President/CEO                      ,,
19,,139598,,Bruce Thompson                     ,Executive Director                 ,,
20,,139127,,A. Thomas Grazio                   ,Executive Director                 ,,
21,,138366,,Theodore Price                     ,Coordinator                        ,,
22,,139824,,Rev. Dr. David S. Cooney           ,Pastor                             ,,
23,,138018,,Naomi Benyowitz                    ,Executive Director                 ,,
24,,137752,,Rick Glaser                        ,Executive Director                 ,,
25,,138761,,John Nugent                        ,President/CEO                      ,,
26,,137744,,Jessie Hall                        ,Coordinator                        ,,
27,,139189,,Barbara Chavis                     ,Director                           ,,
28,,137713,,Thomas L. Curcio                   ,President/CEO                      ,,
29,,139131,,Joshua Sharfstein                  ,Commissioner                       ,,
30,,138242,,Mike Ritter                        ,Program Manager                    ,,
31,,138612,,Father Chris Lee                   ,Rector                             ,,
32,,138491,,Phillip J. Closius                 ,Dean                               ,,
33,,139280,,Christopher Kelly                  ,Hispanic Liaison                   ,,
34,,138887,,Edward C. Rennells                 ,Interim Division Director          ,,
35,,137621,,Tom Sizemore                       ,CFO/CAO                            ,,
36,,138700,,Ronnie Burt                        ,Interim                            ,,
37,,139111,,Robert Duggan                      ,President                          ,,
38,,137949,,Bill Ledford                       ,Coordinator                        ,,
39,,139054,,Barbara Schutz                     ,Director                           ,,
40,,138645,,Sonia Socha                        ,Executive Director                 ,,
41,,138215,,Caroleann Meyers                   ,Director                           ,,
42,,137733,,Tracee Bryant                      ,Director                           ,,
43,,137699,,James W. Johnson                   ,Chief of Police                    ,,
44,,137676,,Stephen H. Morgan                  ,Executive Director                 ,,
45,,138429,,Mary Kathryn Haines                ,Coordinator                        ,,
46,,139557,,Pamela Talabis                     ,Executive Director                 ,,
47,,137725,,Martha Russ                        ,Director                           ,,
48,,138829,,Lorrie Custodio                    ,Executive Director                 ,,
49,,139384,,Michealle Chertoff                 ,Secretary                          ,,
50,,138595,,Sheldon Shugarman                  ,Acting Executive Director          ,,
51,,138741,,Judy DeVito                        ,Executive Officer                  ,,
52,,137908,,Medie McLaughlin                   ,Pantry Coordinator                 ,,
53,,138604,,Drew Leder                         ,Contact Person                     ,,
54,,139296,,Dr. Frederick Phillips             ,CEO                                ,,
55,,138038,,Jeff Singer                        ,President & CEO                    ,,
56,,138468,,Heather Warren                     ,Manager                            ,,
57,,139783,,Maudine Cooper                     ,President and CEO                  ,,
58,,139594,,Tracy Keyser                       , Executive Director                ,,
59,,138690,,Lee Ann Kingham                    ,Executive Director                 ,,
60,,139081,,Bill Scott                         ,Executive Director                 ,,
61,,138940,,Kate Scherr                        ,Director                           ,,
62,,139347,,Barbara Holmes                     , Director                          ,,
63,,137709,,Shirley Bigley-La Motte            ,Chief Executive Director           ,,
64,,138782,,Sandra Martin                      ,Owner                              ,,
65,,137924,,Carla D. Hayden                    ,Executive Director                 ,,
66,,137861,,Betty Rogers                       ,Director                           ,,
67,,138297,,Michael Brown                      ,Executive Director                 ,,
68,,138014,,Steve Vassor                       ,Executive Director                 ,,
69,,139740,,Lesley Smith                       ,Executive Director                 ,,
70,,138794,,Dr. Steven J. Sikorski             ,CEO/President                      ,,
71,,137877,,Larry de Angelis                   ,Director                           ,,
72,,138901,,Monica McCall                      ,Executive Director                 ,,
73,,139756,,Richard Nance                      ,Director                           ,,
74,,138517,,Earl E. Stoner                     ,Health Officer                     ,,
75,,138239,,James Walker                       ,President/CEO                      ,,
76,,138393,,Vincent P. Quayle                  ,Executive Director                 ,,
77,,139582,,Deborah Davis                      ,Program Director                   ,,
78,,139097,,Raymond Reprogel                   ,President                          ,,
79,,138404,,John K. Tolmie                     ,President/CEO                      ,,
80,,138238,,Larry Glover                       ,Director                           ,,
81,,138392,,Bonnie Phipps                      ,President/CEO                      ,,
82,,139079,,Carol Krach                        ,Secretary                          ,,
83,,138453,,Gwendolyn Chadwick                 ,Director                           ,,
84,,137749,,Gary Matthews                      ,Executive Director                 ,,
85,,138146,,Andrea Buonincontro                ,Executive Director                 ,,
86,,138795,,Anne Brooks                        ,President                          ,,
87,,137876,,Jack Langlitz                      ,Business Manager                   ,,
88,,138916,,Rob English                        ,Lead Organizer                     ,,
89,,138015,,Betty Callahan                     ,Director                           ,,
90,,138150,,David Edgerley                     ,Secretary                          ,,
91,,138629,,Roxanne Lynch                      ,Director of Govt & Comm. Relations ,,
92,,137925,,Deacon William Hardy               ,Coordinator                        ,,
93,,137860,,Vicki Vibler                       ,Director                           ,,
94,,139203,,Marci Ellis                        ,President                          ,,
95,,138804,,Kenneth A. Samet                   ,CEO                                ,,
96,,137708,,Mary Rossbach                      ,Director                           ,,
97,,138039,,David Shippee                      ,Executive Director                 ,,
98,,139278,,Maceo Hallman                      ,Program Director                   ,,
99,,138890,,Rev. Debra Hickman                 ,President/CEO                      ,,
100,,139782,,Chris Ryer                         ,Director                           ,,
101,,139151,,Gloria Lawlah                      ,Secretary                          ,,
102,,137909,,Dr. Sandra L Kurtinits             ,President                          ,,
103,,137661,,Marian Francis                     ,Administrator                      ,,
104,,138594,,Dr. Kathleen Hetherington          ,President                          ,,
105,,139556,,Carla Richardson                   ,Director                           ,,
106,,139106,,James William                      ,Interim Executive Director         ,,
107,,139413,,Ronald Peterson                    ,CEO                                ,,
108,,139043,,Frank Hodgetts                     ,President                          ,,
109,,139686,,Judy Tunkle                        ,Facilitator                        ,,
110,,137698,,Celestine Morgan                   ,Executive Director                 ,,
111,,138078,,Stephen Mood                       ,Executive Director                 ,,
112,,137677,,"Thomas E. Rodgerson, Ph.D          ",Director                           ,,
113,,138428,,Lou Tortorice                      ,Program Director                   ,,
114,,138351,,Jack Schanberger                   ,Contact Person                     ,,
115,,137948,,Reather Green                      ,Coordinator                        ,,
116,,139405,,Tamara R. Taylor-Norfleet          ,Chief Exec. Offic                  ,,
117,,138644,,Mimi Jacoby                        ,President                          ,,
118,,139794,,Debra Langseth                     ,Director                           ,,
119,,138886,,Diane LaSov                        ,Asst. Exec. Director               ,,
120,,137620,,Coretha Arrington                  ,Director                           ,,
121,,138306,,Dr. John  E. Hickey                ,Director                           ,,
122,,138756,,Richard Geswell                    ,President/CEO                      ,,
123,,138243,,Audrey Moore                       ,Executive Director                 ,,
124,,138613,,Bette Botzler-Decker               ,Coordinator                        ,,
125,,138664,,Jody M. Huckaby                    ,Executive Director                 ,,
126,,137591,,Rose Long                          ,Coordinator                        ,,
127,,138234,,Mark Cameron                       ,Executive Director                 ,,
128,,137712,,J. Howard Henderson                ,President                          ,,
129,,138799,,Carolyn & Larry Conway             ,Contact Couple                     ,,
130,,137895,,"Joseph J. Kruse, Jr.               ",Interim Executive Director         ,,
131,,138326,,Tracye A. Polson                   ,Executive Director                 ,,
132,,137600,,Diane Tolson                       ,Coordinator                        ,,
133,,137929,,Jean Cushman                       ,Executive Director                 ,,
134,,138275,,Cindi Ritter                       ,Director                           ,,
135,,138760,,Katie McGuire                      ,Program Service Coordinator        ,,
136,,138330,,David Coughlin                     ,Executive Director                 ,,
137,,138019,,Dr. Larry Alessi                   ,Director                           ,,
138,,139258,,"Margorie Engel, MDA, Ph.D.         ",President                          ,,
139,,138222,,Dennis C. Hayes                    ,Interim President                  ,,
140,,138672,,Russell Butler                     ,Director                           ,,
